Change Component Footprint: Designator=Q2_P1 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P2 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P3 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P4 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P5 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P6 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P7 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P8 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change component parameters: Designator = "J7"; Footprint = "JST-S3B-XH-A(LF)(SN)_V"; UniqueID = "\UEJRVOYF"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C95841"; VariantName = "[No Variations]"
Change component parameters: Designator = "D1"; Footprint = "SOD-123_L2.8-W1.8-LS3.7-RD"; UniqueID = "\MKVBCNBK\TIVSAPOF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "//image.lceda.cn/szlcsc/C82046.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "MBR0530T1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Extend"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "MBR0530T1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C82046"; VariantName = "[No Variations]"
Change component parameters: Designator = "L1"; Footprint = "IND-SMD_L6.0-W6.0"; UniqueID = "\MKVBCNBK\LUSBBBVD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "VLS6045EX-100M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Inductance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "VLS6045EX-100M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C360734"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4"; Footprint = "R0603"; UniqueID = "\MKVBCNBK\BFMNVVJG"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "0603WAF2053T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Resistance (Ohms)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Extend"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0603WAF2053T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C22949"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5"; Footprint = "R0603"; UniqueID = "\MKVBCNBK\XGDRQBCF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "0603WAF1004T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Resistance (Ohms)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Basic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0603WAF1004T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C22935"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6"; Footprint = "R0603"; UniqueID = "\MKVBCNBK\VADUDCTD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "0603WAF1332T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Resistance (Ohms)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Extend"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "0603WAF1332T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C25952"; VariantName = "[No Variations]"
Change component parameters: Designator = "U5"; Footprint = "SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"; UniqueID = "\MKVBCNBK\RRZTPCCA"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "LMR62014XMF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Extend"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "LMR62014XMF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C55182"; VariantName = "[No Variations]"
Change component parameters: Designator = "U6"; Footprint = "SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL"; UniqueID = "\VPAMSDAF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "//image.lceda.cn/szlcsc/C7512.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "ULN2003ADR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Basic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "ULN2003ADR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C7512"; VariantName = "[No Variations]"
Change component parameters: Designator = "U7"; Footprint = "SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL"; UniqueID = "\XTZVETDZ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "//image.lceda.cn/szlcsc/C7512.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "ULN2003ADR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Basic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "ULN2003ADR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C7512"; VariantName = "[No Variations]"
Change component parameters: Designator = "U8"; Footprint = "SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR"; UniqueID = "\OGAJLIQO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "AZ1117CH-3.3TRG1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "DIODES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Extend"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "AZ1117CH-3.3TRG1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C92102"; VariantName = "[No Variations]"
